Age,Gender,Parental_Education,Family_Income,Previous_Grades,Attendance,Class_Participation,Study_Hours,Major,School_Type,Financial_Status,Parental_Involvement,Educational_Resources,Motivation,Self_Esteem,Stress_Levels,School_Environment,Professor_Quality,Class_Size,Extracurricular_Activities,Sleep_Patterns,Nutrition,Physical_Activity,Screen_Time,Educational_Tech_Use,Peer_Group,Bullying,Study_Space,Learning_Style,Tutoring,Mentoring,Lack_of_Interest,Time_Wasted_on_Social_Media,Sports_Participation,Grades
22.0,0,0,50000.0,0,81.0,2,8.0,3,0,1,0,1,2,1,0,0,2,39.0,1,6.0,2,1,3.0,1,1,1,0,2,1,1,1,2.0,1,1
21.0,1,3,60000.0,0,85.0,2,12.0,3,1,1,1,1,0,0,1,0,0,75.0,1,5.0,1,1,9.0,0,0,0,0,0,1,1,2,5.0,0,1
19.0,1,0,75000.0,2,93.0,2,12.0,3,0,1,2,0,1,1,0,2,2,46.0,0,6.0,2,0,7.0,0,1,0,1,2,0,0,1,2.0,0,0
21.0,1,0,60000.0,0,86.0,1,15.0,1,1,2,1,0,0,2,2,2,0,60.0,1,5.0,0,0,9.0,1,1,0,1,0,1,1,1,3.0,2,2
19.0,0,3,40000.0,2,89.0,0,15.0,4,1,2,1,1,0,1,0,0,1,41.0,1,4.0,2,1,9.0,1,2,0,0,0,1,1,2,3.0,0,1
19.0,1,0,40000.0,2,82.0,2,14.0,3,0,0,1,1,0,0,1,0,1,60.0,0,8.0,0,2,6.0,1,0,0,1,0,1,0,1,5.0,1,2
20.0,0,3,50953.0,0,84.0,1,13.0,3,0,0,2,0,0,0,0,2,0,82.0,1,7.0,1,1,5.0,0,0,1,1,2,0,0,0,5.0,2,0
21.0,1,0,40000.0,2,75.0,1,5.0,1,1,0,1,0,0,1,0,2,2,38.0,1,5.0,0,0,6.0,0,2,1,1,2,1,1,0,6.0,0,0
19.0,1,2,75000.0,2,73.0,0,10.0,3,1,1,1,0,0,2,1,2,0,52.0,1,7.0,2,2,2.0,1,1,0,0,0,0,1,1,4.0,0,1
21.0,0,1,30000.0,0,81.0,0,6.0,0,0,0,1,1,0,2,0,1,1,41.0,0,6.0,0,2,2.0,1,0,0,0,2,1,1,0,2.0,0,1
22.0,0,2,75000.0,2,85.0,1,9.0,2,0,0,1,0,0,1,2,1,0,60.0,0,5.0,2,0,7.0,1,1,0,1,0,0,0,2,5.0,1,1
19.0,0,1,50953.0,0,98.0,1,9.0,1,0,1,0,0,0,1,2,0,0,44.0,1,9.0,1,1,4.0,1,1,1,1,2,0,1,2,2.0,1,2
22.0,0,2,50000.0,2,72.0,0,20.0,5,0,1,0,0,0,0,0,2,0,60.0,0,6.0,1,2,7.0,1,1,1,0,1,0,1,1,2.0,1,2
21.0,0,3,40000.0,2,79.0,2,18.0,2,1,0,0,1,0,1,1,2,2,47.0,1,7.0,0,2,4.0,1,1,0,0,0,1,1,2,6.0,0,2
20.0,1,3,40000.0,1,82.0,0,12.0,4,1,2,2,1,0,0,2,1,1,26.0,0,6.0,1,2,6.0,0,2,1,1,0,0,1,2,6.0,2,1
20.0,0,3,50953.0,0,94.0,0,10.0,3,0,1,0,0,1,1,1,2,0,37.0,0,8.0,1,1,5.0,1,2,1,0,0,0,0,1,5.0,1,0
21.0,1,0,75000.0,1,70.0,1,9.0,2,1,1,2,1,1,1,2,1,1,67.0,0,7.0,1,2,8.0,1,2,1,1,2,0,0,2,4.0,1,1
